Filename	Ni50Fe27Ga23 11_1 s1
Instrument name	DMA0850-00187
Operator	VargaR
rundate	11/4/2025
Sample name	Ni50Fe27Ga23 11_1 s1
Sample notes	11.Ni50Fe27Ga23 (1) s1


Geometry name	Film Clamp
Geometry notes	


























































Procedure name	DMA Conditioning Preload
	DMA Conditioning Force
	DMA Conditioning Temperature
	Stress Ramp Test
	IsoStress Test
	IsoStress Test
	Stress Ramp Test
	Stress Ramp Test
	IsoStress Test
	IsoStress Test
	Stress Ramp Test
	Stress Ramp Test
	IsoStress Test
	IsoStress Test
	Stress Ramp Test
	DMA Conditioning Temperature
proceduresegments	Stress Ramp Test#IsoStress Test#IsoStress Test#Stress Ramp Test#Stress Ramp Test#IsoStress Test#IsoStress Test#Stress Ramp Test#Stress Ramp Test#IsoStress Test#IsoStress Test#Stress Ramp Test
[File Parameters]
Name	Ni50Fe27Ga23 11_1 s1
Instrument type	DMA850
Instrument serial number	0850-00187
Instrument name	DMA0850-00187
Instrument location	LAB
Company name	FZU AV CR
Trios version	5.5.0.323
File name	C:\ProgramData\TA Instruments\TRIOS\Data\VargaR\Ni50Fe27Ga23 11_1 s1.tri
Run date	11/4/2025 3:41:08 PM
Preload Direction	-1.00000
Starting Force	4.99999e-3
Starting Displacement	2.951
User at run start	DESKTOP-O1VQLVD\dma
[Clamp Parameters]
Geometry Type	Film Clamp
Name	Film Clamp
Length	26.197 mm
Diameter	0.014 mm
Notes	


























































[Clamp Extended Parameters]
Clamp mass	19.59 g
Clamp compliance	0.324364 µm/N
Stress constant	1.27324e8 Pa/N
Strain constant	36.2506 1/m
Zero reference position	29.141 mm
Tool mass calibration date	8/27/2025
Compliance calibration date	8/27/2025
Use constant volume (true stress/strain)	Disabled
Reference Volume	4.03272e-6 cm³
[Firmware Versions]
InfoVerDsp	V2019.12.12
InfoVerWinCe	V2021.8.30
InfoVerDmaIface14	V2019.9.19
InfoVerDmaPower15	V2017.8.9
InfoVerGca16	V2019.7.10
[Calibration Date Information]
InfoDateDynPhase	10/10/2025 2:24 PM
InfoDateStaticNrm	10/10/2025 1:46 PM
InfoDateTorqLag	10/11/2018 8:07 PM
InfoDateADGain	10/11/2018 7:47 PM
InfoDateInertiaPhase	10/10/2025 1:54 PM
InfoDateInertiaMass	10/11/2018 9:06 PM
InfoDateShaftMass	10/11/2018 7:25 PM
InfoDateDmaForcePosn	10/11/2018 8:31 PM
InfoDateDmaEncoderCorr	10/11/2018 8:56 PM
InfoDateDmaInstStability	10/10/2025 1:39 PM
InfoDateDmaThermocoupleCal	10/11/2018 5:43 PM
InfoDateDmaPwrAmpOfst	10/11/2018 9:37 PM
InfoDateSpare17	10/11/2018 5:42 PM
[Calibration Parameters]
SPFrtScaleHi	2054.172
InfoOlStressTol	1.000e-2
InfoOlStressMaxCnt	0
InfoIntSpare8	0
Collect data only when stable	Enabled
Temperature option	None
Temperature Offset	Optimized
[step]
Stress Ramp - 1
Step time	Stress	Strain	Temperature	Strain (step)
s	MPa	%	°C	%
0.01	1.29826	-2.23348e-5	40.37	0.00000
0.03	1.42201	2.13261e-3	40.37	2.15495e-3
0.05	2.29973	2.18780e-3	40.37	2.21013e-3
0.07	1.97740	6.49400e-3	40.37	6.51634e-3
0.09	2.27349	8.30351e-3	40.37	8.32585e-3
0.11	2.73404	0.0111523	40.37	0.0111746
0.13	3.70335	0.0124957	40.37	0.0125180
0.15	3.70366	0.0122858	40.37	0.0123081
0.17	3.86726	0.0115158	40.37	0.0115381
0.19	3.92800	9.35509e-3	40.37	9.37742e-3
0.21	4.11487	9.00583e-3	40.37	9.02816e-3
0.23	4.52280	8.29168e-3	40.37	8.31401e-3
0.25	4.69762	9.73701e-3	40.37	9.75934e-3
0.27	5.36958	0.0116238	40.37	0.0116461
0.29	5.13311	0.0139087	40.37	0.0139310
0.31	5.48283	0.0169518	40.37	0.0169742
0.33	5.23913	0.0178961	40.37	0.0179184
0.35	5.07664	0.0200104	40.37	0.0200327
0.37	5.95468	0.0188587	40.37	0.0188810
0.39	5.79497	0.0189159	40.37	0.0189383
0.41	5.97412	0.0175820	40.37	0.0176044
0.43	6.22732	0.0176801	40.37	0.0177024
0.45	6.21380	0.0178822	40.37	0.0179046
0.47	6.60578	0.0187967	40.37	0.0188191
0.49	6.80736	0.0206340	40.37	0.0206564
0.51	7.04361	0.0216496	40.37	0.0216720
0.53	7.38498	0.0238286	40.37	0.0238509
0.55	7.43346	0.0243103	40.37	0.0243326
0.57	7.90502	0.0257245	40.37	0.0257468
0.59	7.99941	0.0255787	40.37	0.0256010
0.61	8.30070	0.0259572	40.37	0.0259795
0.63	8.44797	0.0261418	40.37	0.0261641
0.65	8.92825	0.0263502	40.37	0.0263725
0.67	9.02850	0.0270480	40.37	0.0270703
0.69	9.20474	0.0278645	40.37	0.0278868
0.71	9.18361	0.0287835	40.37	0.0288058
0.73	9.54400	0.0301673	40.37	0.0301896
0.75	9.80982	0.0311154	40.37	0.0311377
0.77	10.0911	0.0323804	40.37	0.0324027
0.79	10.0126	0.0320977	40.37	0.0321201
0.81	10.2833	0.0327871	40.37	0.0328094
0.83	10.6945	0.0325386	40.37	0.0325609
0.85	11.0522	0.0335691	40.37	0.0335914
0.87	11.4310	0.0335745	40.37	0.0335969
0.89	11.4093	0.0348755	40.37	0.0348978
0.91	11.7603	0.0355099	40.37	0.0355322
0.93	11.7832	0.0368774	40.37	0.0368997
0.95	12.3582	0.0378706	40.37	0.0378929
0.97	12.1929	0.0396170	40.37	0.0396394
0.99	12.4697	0.0398700	40.37	0.0398923
1.01	12.7151	0.0408017	40.37	0.0408241
1.03	12.7446	0.0408265	40.37	0.0408488
1.05	13.2390	0.0413915	40.37	0.0414138
1.07	13.5058	0.0412036	40.37	0.0412260
1.09	13.3541	0.0418681	40.37	0.0418904
