Sample Name, Ga23_5_4_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.790000E-5,-6.910000E+1,5.811480E-6,4.589590E-6,7.405244E-6,3.829976E+1
6.321710E-2,-6.910000E+1,5.871090E-6,3.427280E-6,6.798231E-6,3.027447E+1
2.618801E-1,-6.920000E+1,5.036620E-6,1.549730E-6,5.269649E-6,1.710274E+1
4.618836E-1,-6.810000E+1,4.708800E-6,2.086170E-7,4.713419E-6,2.536753E+0
6.628825E-1,-6.750000E+1,6.526740E-6,-6.556550E-7,6.559590E-6,-5.736502E+0
8.619191E-1,-6.530000E+1,6.139310E-6,5.960500E-7,6.168177E-6,5.545322E+0
1.062915E+0,-6.040000E+1,2.563010E-6,-5.960510E-8,2.563703E-6,-1.332225E+0
1.262920E+0,-5.630000E+1,8.642710E-7,-6.854570E-7,1.103094E-6,-3.841808E+1
1.461914E+0,-4.550000E+1,-1.728540E-6,1.788150E-7,1.737764E-6,1.740938E+2
1.661914E+0,-3.910000E+1,-2.950440E-6,-1.192100E-7,2.952847E-6,-1.776863E+2
1.862914E+0,-2.140000E+1,-4.291560E-6,-5.662480E-7,4.328755E-6,-1.724836E+2
2.062878E+0,-1.210000E+1,-4.470380E-6,-4.768410E-7,4.495740E-6,-1.739115E+2
2.261879E+0,-8.000000E-1,-2.890840E-6,-4.172340E-7,2.920794E-6,-1.717872E+2
2.461927E+0,2.740000E+1,-7.152590E-7,-4.172340E-7,8.280578E-7,-1.497436E+2
2.662916E+0,4.000000E+1,-2.384200E-7,-6.258520E-7,6.697274E-7,-1.108545E+2
2.861910E+0,7.180000E+1,6.556550E-7,-1.400720E-6,1.546577E-6,-6.491645E+1
3.062917E+0,8.450000E+1,8.046660E-7,-6.854570E-7,1.057042E-6,-4.042611E+1
3.261879E+0,9.910000E+1,1.341110E-6,7.748640E-7,1.548867E-6,3.001838E+1
3.461880E+0,1.253000E+2,6.854570E-7,1.430520E-6,1.586266E-6,6.439783E+1
3.662881E+0,1.418000E+2,-2.115980E-6,1.072890E-6,2.372438E-6,1.531131E+2
