[Connect DataFile][2.1]
Date:	3/13/2025
Time:	09:14:48
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:665		
000:00:00.050	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:715		
000:00:00.100	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:765		
000:00:00.150	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:815		
000:00:00.200	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:865		
000:00:00.250	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:915		
000:00:00.300	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:48:965		
000:00:00.350	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:015		
000:00:00.400	800.0	24.2	23.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:065		
000:00:00.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:115		
000:00:00.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:165		
000:00:00.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:215		
000:00:00.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:265		
000:00:00.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:315		
000:00:00.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:365		
000:00:00.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:415		
000:00:00.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:465		
000:00:00.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:515		
000:00:00.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:565		
000:00:00.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:615		
000:00:01.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:665		
000:00:01.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:715		
000:00:01.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:765		
000:00:01.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:815		
000:00:01.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:865		
000:00:01.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:915		
000:00:01.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:49:965		
000:00:01.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:015		
000:00:01.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:065		
000:00:01.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:115		
000:00:01.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:165		
000:00:01.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:215		
000:00:01.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:265		
000:00:01.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:315		
000:00:01.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:365		
000:00:01.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:415		
000:00:01.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:465		
000:00:01.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:515		
000:00:01.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:565		
000:00:01.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:615		
000:00:02.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:665		
000:00:02.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:715		
000:00:02.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:765		
000:00:02.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:815		
000:00:02.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:865		
000:00:02.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:915		
000:00:02.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:50:965		
000:00:02.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:015		
000:00:02.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:065		
000:00:02.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:115		
000:00:02.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:165		
000:00:02.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:215		
000:00:02.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:265		
000:00:02.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:315		
000:00:02.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:365		
000:00:02.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:415		
000:00:02.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:465		
000:00:02.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:515		
000:00:02.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:565		
000:00:02.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:615		
000:00:03.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:665		
000:00:03.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:715		
000:00:03.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:765		
000:00:03.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:815		
000:00:03.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:865		
000:00:03.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:915		
000:00:03.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:51:965		
000:00:03.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:015		
000:00:03.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:065		
000:00:03.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:115		
000:00:03.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:165		
000:00:03.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:215		
000:00:03.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:265		
000:00:03.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:315		
000:00:03.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:365		
000:00:03.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:415		
000:00:03.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:465		
000:00:03.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:515		
000:00:03.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:565		
000:00:03.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:615		
000:00:04.000	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:665		
000:00:04.050	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:715		
000:00:04.100	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:765		
000:00:04.150	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:815		
000:00:04.200	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:865		
000:00:04.250	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:915		
000:00:04.300	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:52:965		
000:00:04.350	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:015		
000:00:04.400	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:065		
000:00:04.450	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:115		
000:00:04.500	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:165		
000:00:04.550	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:215		
000:00:04.600	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:265		
000:00:04.650	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:315		
000:00:04.700	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:365		
000:00:04.750	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:415		
000:00:04.800	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:465		
000:00:04.850	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:515		
000:00:04.900	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:565		
000:00:04.950	800.0	24.2	23.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:14:53:615		
