Date  3.6.2025
time  12:09:03
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.155  0.128805  1793.96  89.9906  0.295  0.4  6.7  64  2.8332  100
0.204  0.128805  1909.75  95.1178  170.359  0.38  6.7  64  2.8332  100
0.253  0.257611  1869.7  95.0571  164.813  0.39  6.7  64  2.8332  100
0.302  0.257611  1947.08  88.1032  64.448  0.37  6.7  64  2.8332  100
0.351  0.257611  1975.2  89.8916  3.736  0.37  6.7  64  2.8332  100
0.4  0.386416  1852.33  94.0093  129.512  0.39  6.9  64  2.8332  100
0.448  0.386416  1900.01  95.0349  166.751  0.38  6.9  64  2.8332  100
0.497  0.386416  1902.81  96.2739  207.941  0.38  6.9  64  2.8332  100
0.546  0.515221  1855.1  94.2469  137.379  0.39  6.9  64  2.8332  100
0.595  0.515221  1984.1  89.8277  5.967  0.36  6.9  64  2.8332  100
0.643  0.644026  1967.16  89.7456  8.733  0.37  6.9  64  2.8332  100
0.692  0.644026  1858.51  95.1986  168.396  0.39  7.1  64  2.8332  100
0.741  0.644026  1917.83  95.1644  172.63  0.38  7.1  64  2.8332  100
0.79  0.772832  1820.92  94.09  129.875  0.4  7.1  64  2.8332  100
0.838  0.772832  1949.56  89.1859  27.699  0.37  7.1  64  2.8332  100
0.887  0.772832  1895.23  94.7078  155.548  0.38  7.1  64  2.8332  100
0.936  0.901637  1945  89.8634  4.639  0.37  7.1  64  2.8332  100
0.985  0.901637  2005.77  89.9997  0.009  0.36  7.4  64  2.8332  100
1.033  1.03044  1892.97  94.864  160.507  0.38  7.4  64  2.8332  100
1.082  1.03044  1784.12  90.0428  1.334  0.41  7.4  64  2.8332  100
1.131  1.03044  2026.67  89.9699  1.065  0.36  7.4  64  2.8332  100
1.18  1.15925  1809.87  89.9934  0.207  0.4  7.4  64  2.8332  100
1.228  1.15925  1863.26  95.262  170.879  0.39  7.4  64  2.8332  100
1.277  1.28805  1921.46  94.9505  165.812  0.38  7.5  64  2.8332  100
1.326  1.28805  1792.59  90.0142  0.443  0.4  7.5  64  2.8332  100
1.375  1.28805  1960.47  89.0479  32.577  0.37  7.5  64  2.8332  100
1.423  1.41686  1979.73  89.868  4.56  0.37  7.5  64  2.8332  100
1.472  1.41686  1835.82  94.194  134.26  0.4  7.5  64  2.8332  100
1.521  1.54566  2008.35  89.9486  1.801  0.36  7.5  64  2.8332  100
1.57  1.54566  1890  96.1559  202.672  0.38  7.7  64  2.8332  100
1.618  1.54566  1852.95  94.1225  133.207  0.39  7.7  64  2.8332  100
1.667  1.67447  1906.49  95.0901  169.149  0.38  7.7  64  2.8332  100
1.716  1.67447  1883.77  95.1571  169.325  0.39  7.7  64  2.8332  100
1.765  1.80327  1930.32  89.2585  24.981  0.37  7.7  64  2.8332  100
1.813  1.80327  1926.32  94.9688  166.843  0.38  7.7  64  2.8332  100
1.862  1.80327  1855.08  95.1025  164.988  0.39  7.7  64  2.8332  100
1.911  1.93208  1959.85  89.1271  29.856  0.37  8  64  2.8332  100
1.959  1.93208  1903.92  94.8903  162.304  0.38  8  64  2.8332  100
2.008  2.06088  1934.43  89.8825  3.967  0.37  8  64  2.8332  100
2.057  2.06088  2015.4  89.9888  0.394  0.36  8  64  2.8332  100
2.105  2.06088  1895.7  96.4075  211.558  0.38  8  64  2.8332  100
2.154  2.18969  1849.38  94.0082  129.272  0.39  8  64  2.8332  100
2.203  2.18969  1886.97  94.0312  132.652  0.38  8.1  64  2.8332  100
2.252  2.3185  1871.83  95.184  169.127  0.39  8.1  64  2.8332  100
2.3  2.3185  1849.14  93.9637  127.821  0.39  8.1  64  2.8332  100
2.349  2.3185  1999.61  89.7643  8.226  0.36  8.1  64  2.8332  100
2.398  2.4473  1846.43  94.0039  128.927  0.39  8.1  64  2.8332  100
2.447  2.4473  1990.81  89.963  1.285  0.36  8.1  64  2.8332  100
2.495  2.57611  1958.23  89.7931  7.072  0.37  8.2  64  2.8332  100
2.544  2.57611  1843.08  95.3408  171.552  0.39  8.2  64  2.8332  100
2.593  2.57611  1891.4  94.0012  131.976  0.38  8.2  64  2.8332  100
2.642  2.70491  1897.2  94.79  158.424  0.38  8.2  64  2.8332  100
2.691  2.70491  1862.82  95.1717  167.917  0.39  8.2  64  2.8332  100
2.74  2.83372  1993.98  89.5645  15.155  0.36  8.2  64  2.8332  100
2.788  2.83372  1982.09  90.0253  0.877  0.36  8.3  64  2.8332  100
2.837  2.83372  1791.14  90.0056  0.174  0.4  8.3  64  2.8332  100
2.886  2.96252  1892.77  95.1269  169.141  0.38  8.3  64  2.8332  100
2.935  2.96252  1804.04  89.9888  0.354  0.4  8.3  64  2.8332  100
2.983  3.09133  1944.96  89.0621  31.836  0.37  8.3  64  2.8332  100
3.032  3.09133  1981.66  89.8958  3.603  0.37  8.3  64  2.8332  100
3.081  3.09133  1869.7  95.3621  174.724  0.39  8.5  64  2.8332  100
3.13  3.22013  2022.03  89.9934  0.233  0.36  8.5  64  2.8332  100
3.178  3.22013  1884.09  94.9199  161.585  0.39  8.5  64  2.8332  100
3.227  3.34894  1832.33  94.0806  130.388  0.4  8.5  64  2.8332  100
3.276  3.34894  1890.83  95.0444  166.258  0.38  8.5  64  2.8332  100
3.325  3.34894  1864.68  94.949  160.863  0.39  8.5  64  2.8332  100
3.373  3.47774  1926.83  89.0928  30.507  0.38  8.3  64  2.8332  100
3.422  3.47774  1991.22  89.8842  4.024  0.36  8.3  64  2.8332  100
3.471  3.60655  1850.15  94.9951  161.093  0.39  8.3  64  2.8332  100
3.52  3.60655  1868.14  94.1836  136.287  0.39  8.3  64  2.8332  100
3.568  3.73535  1994.15  89.7165  9.866  0.36  8.3  64  2.8332  100
3.617  3.73535  1843.77  94.3236  139.002  0.39  8.3  64  2.8332  100
3.666  3.73535  1965.71  88.8275  40.224  0.37  8.6  64  2.8332  100
