Date  24.7.2025
time  08:57:39
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.102  0.128805  1879.58  95.2298  171.325  0.39  0  55  3.5878  0
0.15  0.128805  1807.05  90.0273  0.861  0.4  0  55  3.5878  0
0.199  0.128805  1991.63  89.9201  2.778  0.36  0  55  3.5878  0
0.248  0.257611  1863.92  95.0934  165.478  0.39  0  55  3.5878  0
0.297  0.257611  1959.43  89.0918  31.059  0.37  0  55  3.5878  0
0.346  0.257611  1909.47  94.7602  158.459  0.38  0  55  3.5878  0
0.395  0.386416  1935.21  89.9522  1.616  0.37  0  55  3.5878  0
0.443  0.386416  1986.85  89.9271  2.527  0.36  0  55  3.5878  0
0.492  0.386416  1892.31  96.3317  208.69  0.38  0  55  3.5878  0
0.541  0.515221  1862.47  95.4063  175.477  0.39  0  55  3.5878  0
0.59  0.515221  1911.27  95.1086  170.187  0.38  0  55  3.5878  0
0.638  0.515221  1873.51  95.2203  170.463  0.39  0  55  3.5878  0
0.687  0.644026  1808.58  90.0547  1.727  0.4  0  55  3.5878  0
0.736  0.644026  1991.92  89.8045  6.798  0.36  0  55  3.5878  0
0.785  0.644026  1863.01  94.913  159.555  0.39  0  55  3.5878  0
0.833  0.772832  2000.3  89.952  1.677  0.36  0  55  3.5878  0
0.882  0.772832  1901.93  94.8076  159.401  0.38  0  55  3.5878  0
0.931  0.772832  1853.07  95.6023  180.904  0.39  0  55  3.5878  0
0.979  0.901637  1983.81  89.9428  1.98  0.36  0  55  3.5878  0
1.028  0.901637  1898.97  96.1056  201.978  0.38  0  55  3.5878  0
1.077  0.901637  1862.82  95.1717  167.917  0.39  0  55  3.5878  0
1.125  1.03044  1908.93  95.2658  175.194  0.38  0  55  3.5878  0
1.174  1.03044  1868.7  95.1567  167.959  0.39  0  55  3.5878  0
1.224  1.03044  1804.09  90.0075  0.235  0.4  0  55  3.5878  0
1.272  1.15925  1989.27  89.8563  4.99  0.36  0  55  3.5878  0
1.321  1.15925  1794.09  90.0413  1.294  0.4  0  55  3.5878  0
1.37  1.15925  1955.85  89.1877  27.727  0.37  0  55  3.5878  0
1.419  1.28805  1908.44  94.862  161.753  0.38  0  55  3.5878  0
1.467  1.28805  1863.12  95.5418  179.924  0.39  0  55  3.5878  0
1.516  1.28805  1841.23  90.0643  2.067  0.39  0  55  3.5878  0
1.565  1.41686  1893.39  96.2313  205.513  0.38  0  55  3.5878  0
1.614  1.41686  1861.38  95.1807  168.077  0.39  0  55  3.5878  0
1.662  1.54566  1915.24  95.2756  176.101  0.38  0  55  3.5878  0
1.711  1.54566  1868.25  95.0662  164.98  0.39  0  55  3.5878  0
1.76  1.54566  1948.52  89.2294  26.205  0.37  0  55  3.5878  0
1.809  1.67447  1991.92  89.8045  6.798  0.36  0  55  3.5878  0
1.858  1.67447  1795.51  90.0339  1.061  0.4  0  55  3.5878  0
1.906  1.67447  2005.31  89.9642  1.254  0.36  0  55  3.5878  0
1.955  1.80327  1898.15  94.9736  164.564  0.38  0  55  3.5878  0
2.004  1.80327  1857.57  95.6215  181.962  0.39  0  55  3.5878  0
2.053  1.80327  1904.64  90.0296  0.983  0.38  0  55  3.5878  0
2.101  1.93208  1879.13  95.1388  168.31  0.39  0  55  3.5878  0
2.151  1.93208  1799.72  89.9952  0.15  0.4  0  55  3.5878  0
2.2  1.93208  1994.84  89.6365  12.657  0.36  0  55  3.5878  0
2.248  2.06088  1866.25  95.2651  171.255  0.39  0  55  3.5878  0
2.297  2.06088  1948.1  89.1943  27.395  0.37  0  55  3.5878  0
2.346  2.06088  1909.22  94.7141  156.906  0.38  0  55  3.5878  0
2.395  2.18969  1798.43  90.0536  1.684  0.4  0  55  3.5878  0
2.444  2.18969  1823.16  90.0142  0.45  0.4  0  55  3.5878  0
2.492  2.18969  1899.39  96.198  205.067  0.38  0  55  3.5878  0
2.541  2.3185  1859.01  95.6129  181.825  0.39  0  55  3.5878  0
2.59  2.3185  2013.4  89.9609  1.375  0.36  0  55  3.5878  0
2.639  2.3185  1881.05  95.2208  171.164  0.39  0  55  3.5878  0
2.687  2.4473  1856.98  94.0485  131.104  0.39  0  55  3.5878  0
2.737  2.4473  1999.45  89.6119  13.542  0.36  0  55  3.5878  0
2.786  2.57611  1866.58  95.0301  163.661  0.39  0  55  3.5878  0
2.834  2.57611  1991.73  90.0336  1.167  0.36  0  55  3.5878  0
2.883  2.57611  1915.29  94.6758  156.128  0.38  0  55  3.5878  0
2.932  2.70491  1848.08  94.0387  130.16  0.39  0  55  3.5878  0
2.981  2.70491  1889.92  94.0112  132.202  0.38  0  55  3.5878  0
3.03  2.70491  1898.15  94.9736  164.564  0.38  0  55  3.5878  0
3.079  2.83372  1855.29  95.4501  176.214  0.39  0  55  3.5878  0
3.127  2.83372  1904.64  90.0296  0.983  0.38  0  55  3.5878  0
3.176  2.83372  1890.41  96.2478  205.732  0.38  0  55  3.5878  0
3.225  2.96252  1871.5  95.1176  166.939  0.39  0  55  3.5878  0
3.274  2.96252  1996.38  89.6283  12.951  0.36  0  55  3.5878  0
3.322  2.96252  1865.36  95.0844  165.313  0.39  0  55  3.5878  0
3.371  3.09133  1989.78  90.006  0.207  0.36  0  55  3.5878  0
3.42  3.09133  1905.42  94.8809  162.121  0.38  0  55  3.5878  0
3.469  3.09133  1966.47  90.0313  1.074  0.37  0  55  3.5878  0
3.517  3.22013  2014.34  90.0323  1.135  0.36  0  55  3.5878  0
3.566  3.22013  1892.19  95.0107  165.267  0.38  0  55  3.5878  0
3.615  3.34894  1859.38  95.3788  174.297  0.39  0  55  3.5878  0
3.664  3.34894  1908.81  94.933  164.139  0.38  0  55  3.5878  0
3.713  3.34894  1887.03  96.1725  202.899  0.39  0  55  3.5878  0
3.762  3.47774  1862.45  93.9643  128.76  0.39  0  55  3.5878  0
3.81  3.47774  1997.22  89.7003  10.446  0.36  0  55  3.5878  0
3.859  3.47774  1860.04  95.2106  168.922  0.39  0  55  3.5878  0
3.908  3.60655  1951.45  89.2128  26.812  0.37  0  55  3.5878  0
3.957  3.60655  1909.71  94.8064  160.013  0.38  0  55  3.5878  0
4.005  3.60655  1969.39  90.0162  0.556  0.37  0  55  3.5878  0
4.054  3.73535  2010.81  90.0121  0.425  0.36  0  55  3.5878  0
4.103  3.73535  1902.19  96.135  203.291  0.38  0  55  3.5878  0
4.152  3.73535  1858.94  95.2887  171.345  0.39  0  55  3.5878  0
4.2  3.86416  1910.32  94.9236  163.957  0.38  0  55  3.5878  0
4.25  3.86416  1875.75  95.066  165.636  0.39  0  55  3.5878  0
4.299  3.86416  1858.16  93.9939  129.422  0.39  0  55  3.5878  0
4.347  3.99296  1991.35  89.6168  13.317  0.36  0  55  3.5878  0
4.396  3.99296  1862.03  95.0123  162.685  0.39  0  55  3.5878  0
4.445  3.99296  1967.91  89.9497  1.727  0.37  0  55  3.5878  0
4.494  4.12177  1910.43  94.945  164.679  0.38  0  55  3.5878  0
4.543  4.12177  1936.66  89.9445  1.876  0.37  0  55  3.5878  0
4.592  4.12177  1839.55  90.0008  0.025  0.39  0  55  3.5878  0
4.64  4.25057  1896.18  96.1685  203.751  0.38  0  55  3.5878  0
4.689  4.25057  1861.82  95.2709  171.035  0.39  0  55  3.5878  0
4.738  4.37938  1911.84  94.9142  163.775  0.38  0  55  3.5878  0
4.787  4.37938  1880.25  96.3512  207.996  0.39  0  55  3.5878  0
4.835  4.37938  1807.05  90.0273  0.861  0.4  0  55  3.5878  0
4.884  4.50819  1995.68  89.7084  10.156  0.36  0  55  3.5878  0
4.933  4.50819  1862.92  95.1927  168.604  0.39  0  55  3.5878  0
4.982  4.50819  1969.41  89.9419  1.996  0.37  0  55  3.5878  0
