Date  10.12.2024
time  09:16:37
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.006  0.128805  1953.8  89.8166  6.253  0.37  52.1  79  4.6496  100
0.055  0.128805  1998.42  89.9437  1.963  0.36  52.1  79  4.6496  100
0.104  0.128805  1913.43  96.2155  207.164  0.38  50.1  79  4.6496  100
0.153  0.257611  1872.1  94.085  133.361  0.39  50.1  79  4.6496  100
0.202  0.257611  1920.65  95.0994  170.713  0.38  50.1  79  4.6496  100
0.25  0.386416  1892.91  96.4699  213.294  0.38  50.1  79  4.6496  100
0.299  0.386416  2000.3  89.952  1.677  0.36  50.1  79  4.6496  100
0.348  0.515221  2026.21  89.6252  13.253  0.36  50.1  79  4.6496  100
0.397  0.515221  1975.61  89.9272  2.51  0.37  53.6  79  4.6496  100
0.446  0.644026  1992.98  89.8955  3.634  0.36  53.6  79  4.6496  100
0.494  0.644026  1928.31  96.3741  214.079  0.38  53.6  79  4.6496  100
0.543  0.772832  1876.99  95.3176  173.955  0.39  53.6  79  4.6496  100
0.592  0.772832  1937.16  94.9024  165.547  0.37  53.6  79  4.6496  100
0.641  0.772832  1926.35  96.2886  211.004  0.38  53.6  79  4.6496  100
0.69  0.901637  1885.14  95.1268  168.456  0.39  55.7  79  4.6496  100
0.738  0.901637  1939.46  95.0337  170.17  0.37  55.7  79  4.6496  100
0.787  1.03044  1883.99  95.2027  170.84  0.39  55.7  79  4.6496  100
0.836  1.03044  1888.55  95.2  171.164  0.38  55.7  79  4.6496  100
0.885  1.15925  2018.83  89.4313  20.038  0.36  55.7  79  4.6496  100
0.933  1.15925  1892.5  94.7725  157.454  0.38  55.7  79  4.6496  100
0.982  1.28805  1917.12  95.0251  167.924  0.38  55.6  79  4.6496  100
1.031  1.28805  1933.67  94.8496  163.472  0.38  55.6  79  4.6496  100
1.08  1.41686  1964.17  89.7615  8.176  0.37  55.6  79  4.6496  100
1.128  1.41686  1941.35  94.7798  161.766  0.37  55.6  79  4.6496  100
1.177  1.54566  1902.61  96.2276  206.391  0.38  55.6  79  4.6496  100
1.227  1.54566  1888.1  95.1085  168.121  0.38  55.6  79  4.6496  100
1.275  1.67447  1927.28  95.1554  173.179  0.38  54.1  79  4.6496  100
1.324  1.67447  1876.2  95.1569  168.639  0.39  54.1  79  4.6496  100
1.373  1.80327  1833.53  89.996  0.128  0.39  54.1  79  4.6496  100
1.422  1.80327  1924.96  94.7109  158.093  0.38  54.1  79  4.6496  100
1.47  1.93208  1965.39  89.8677  4.538  0.37  54.1  79  4.6496  100
1.52  1.93208  1998.01  89.9077  3.218  0.36  54.1  79  4.6496  100
1.568  2.06088  1935.47  94.8868  164.879  0.38  52.9  79  4.6496  100
1.617  2.06088  1871.81  95.4894  179.06  0.39  52.9  79  4.6496  100
1.666  2.18969  2002.93  89.7675  8.127  0.36  52.9  79  4.6496  100
1.715  2.18969  1903.49  96.0803  201.623  0.38  52.9  79  4.6496  100
1.763  2.3185  1963.03  89.9376  2.137  0.37  52.9  79  4.6496  100
1.812  2.3185  2041.7  89.9711  1.028  0.35  52.9  79  4.6496  100
1.861  2.4473  1815.74  89.9981  0.059  0.4  52.9  79  4.6496  100
1.91  2.4473  1908.57  94.8868  162.585  0.38  52.8  79  4.6496  100
1.959  2.57611  2010.2  89.8244  6.161  0.36  52.8  79  4.6496  100
2.007  2.57611  1964.3  89.9109  3.054  0.37  52.8  79  4.6496  100
2.056  2.70491  1847.11  89.9979  0.069  0.39  52.8  79  4.6496  100
2.106  2.70491  1999.33  89.8804  4.172  0.36  52.8  79  4.6496  100
2.155  2.83372  1872.61  95.3444  174.418  0.39  52.8  79  4.6496  100
2.203  2.83372  2046.44  89.9474  1.88  0.35  53.1  79  4.6496  100
2.252  2.96252  1906.72  96.1098  202.939  0.38  53.1  79  4.6496  100
2.301  2.96252  1993.23  90.0259  0.902  0.36  53.1  79  4.6496  100
2.35  3.09133  2015.61  89.7193  9.873  0.36  53.1  79  4.6496  100
2.398  3.09133  1904.63  95.0285  166.943  0.38  53.1  79  4.6496  100
2.447  3.22013  2001.52  89.9279  2.519  0.36  53.1  79  4.6496  100
2.496  3.22013  1942.53  94.698  159.1  0.37  55.9  79  4.6496  100
2.545  3.34894  1955  89.9222  2.654  0.37  55.9  79  4.6496  100
2.593  3.34894  1997.17  89.8357  5.727  0.36  55.9  79  4.6496  100
2.642  3.47774  1924.96  94.7109  158.093  0.38  55.9  79  4.6496  100
2.691  3.47774  1959.31  89.7499  8.553  0.37  55.9  79  4.6496  100
2.74  3.60655  1929.89  95.0433  169.654  0.38  55.9  79  4.6496  100
2.789  3.60655  1899.88  95.0103  165.926  0.38  54.9  79  4.6496  100
2.837  3.73535  1892.08  94.9894  164.558  0.38  54.9  79  4.6496  100
2.886  3.73535  2016.57  89.5209  16.861  0.36  54.9  79  4.6496  100
2.935  3.86416  1886.03  95.0019  164.44  0.39  54.9  79  4.6496  100
2.984  3.86416  2007.76  90.0276  0.966  0.36  54.9  79  4.6496  100
3.032  3.99296  2009.19  89.5988  14.07  0.36  54.9  79  4.6496  100
3.081  3.99296  1946.06  89.8206  6.095  0.37  50.2  79  4.6496  100
3.13  4.12177  2003.48  89.9561  1.537  0.36  50.2  79  4.6496  100
3.179  4.12177  1922.38  94.8231  161.632  0.38  50.2  79  4.6496  100
