[Connect DataFile][2.1]
Date:	7/22/2025
Time:	09:44:06
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:056		
000:00:00.050	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:106		
000:00:00.100	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:156		
000:00:00.150	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:206		
000:00:00.200	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:256		
000:00:00.250	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:306		
000:00:00.300	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:356		
000:00:00.350	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:406		
000:00:00.400	800.0	25.5	25.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:456		
000:00:00.450	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:506		
000:00:00.500	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:556		
000:00:00.550	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:606		
000:00:00.600	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:656		
000:00:00.650	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:706		
000:00:00.700	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:756		
000:00:00.750	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:806		
000:00:00.800	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:856		
000:00:00.850	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:906		
000:00:00.900	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:06:956		
000:00:00.950	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:006		
000:00:01.000	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:056		
000:00:01.050	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:106		
000:00:01.100	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:156		
000:00:01.150	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:206		
000:00:01.200	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:256		
000:00:01.250	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:306		
000:00:01.300	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:356		
000:00:01.350	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:406		
000:00:01.400	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:456		
000:00:01.450	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:506		
000:00:01.500	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:556		
000:00:01.550	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:606		
000:00:01.600	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:656		
000:00:01.650	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:706		
000:00:01.700	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:756		
000:00:01.750	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:806		
000:00:01.800	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:856		
000:00:01.850	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:906		
000:00:01.900	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:07:956		
000:00:01.950	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:006		
000:00:02.000	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:056		
000:00:02.050	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:106		
000:00:02.100	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:156		
000:00:02.150	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:206		
000:00:02.200	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:256		
000:00:02.250	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:306		
000:00:02.300	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:356		
000:00:02.350	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:406		
000:00:02.400	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:456		
000:00:02.450	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:506		
000:00:02.500	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:556		
000:00:02.550	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:606		
000:00:02.600	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:656		
000:00:02.650	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:706		
000:00:02.700	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:756		
000:00:02.750	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:806		
000:00:02.800	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:856		
000:00:02.850	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:906		
000:00:02.900	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:08:956		
000:00:02.950	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:006		
000:00:03.000	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:056		
000:00:03.050	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:106		
000:00:03.100	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:156		
000:00:03.150	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:206		
000:00:03.200	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:256		
000:00:03.250	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:306		
000:00:03.300	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:356		
000:00:03.350	800.0	25.5	24.9	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:44:09:406		
