[Connect DataFile][2.1]
Date:	4/17/2024
Time:	08:44:58
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:414		
000:00:00.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:464		
000:00:00.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:514		
000:00:00.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:564		
000:00:00.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:614		
000:00:00.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:664		
000:00:00.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:714		
000:00:00.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:764		
000:00:00.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:814		
000:00:00.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:864		
000:00:00.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:914		
000:00:00.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:58:964		
000:00:00.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:44:59:014		
