[Connect DataFile][2.1]
Date:	5/16/2025
Time:	09:05:11
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:699		
000:00:00.050	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:749		
000:00:00.100	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:799		
000:00:00.150	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:849		
000:00:00.200	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:899		
000:00:00.250	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:949		
000:00:00.300	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:11:999		
000:00:00.350	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:049		
000:00:00.400	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:099		
000:00:00.450	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:149		
000:00:00.500	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:199		
000:00:00.550	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:249		
000:00:00.600	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:299		
000:00:00.650	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:349		
000:00:00.700	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:399		
000:00:00.750	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:449		
000:00:00.800	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:499		
000:00:00.850	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:549		
000:00:00.900	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:599		
000:00:00.950	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:649		
000:00:01.000	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:699		
000:00:01.050	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:749		
000:00:01.100	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:799		
000:00:01.150	800.0	20.9	20.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:849		
000:00:01.200	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:899		
000:00:01.250	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:949		
000:00:01.300	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:12:999		
