Date  14.1.2025
time  09:52:40
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.23  0.128805  1896.9  95.3383  176.479  0.38  55.9  34  3.1589  100
0.279  0.128805  1922.76  94.8945  164.053  0.38  55.9  34  3.1589  100
0.328  0.128805  1888.2  95.1297  168.827  0.38  55.9  34  3.1589  100
0.377  0.128805  1981.42  89.9739  0.901  0.37  55.9  34  3.1589  100
0.426  0.128805  1933.47  94.5127  152.124  0.38  57.2  34  3.1589  100
0.474  0.257611  1895.97  96.1224  202.212  0.38  57.2  34  3.1589  100
0.523  0.257611  1999.84  89.7836  7.552  0.36  57.2  34  3.1589  100
0.572  0.257611  1915.22  94.9632  165.697  0.38  57.2  34  3.1589  100
0.621  0.257611  1956.35  89.7657  8  0.37  57.2  34  3.1589  100
0.669  0.257611  2010.28  89.6907  10.852  0.36  57.2  34  3.1589  100
0.718  0.386416  1940.63  95.9208  200.184  0.37  56.5  34  3.1589  100
0.767  0.386416  1891.16  95.42  178.631  0.38  56.5  34  3.1589  100
0.816  0.386416  2017.55  89.8843  4.075  0.36  56.5  34  3.1589  100
0.864  0.386416  1915.79  96.3936  213.337  0.38  56.5  34  3.1589  100
0.914  0.386416  1884.57  95.3185  174.684  0.39  56.5  34  3.1589  100
0.962  0.515221  2025.15  89.9615  1.359  0.36  56.5  34  3.1589  100
1.011  0.515221  1890.47  94.9742  163.916  0.38  53.1  34  3.1589  100
1.06  0.515221  2010.85  89.8801  4.209  0.36  53.1  34  3.1589  100
1.109  0.515221  1932.12  94.8591  163.662  0.38  53.1  34  3.1589  100
1.157  0.515221  1877.87  95.4997  179.977  0.39  53.1  34  3.1589  100
1.206  0.644026  2009.29  89.8881  3.925  0.36  53.1  34  3.1589  100
1.255  0.644026  1910.74  94.7045  156.713  0.38  53.1  34  3.1589  100
1.304  0.644026  1886.49  95.401  177.566  0.39  54.5  34  3.1589  100
1.352  0.644026  1943.41  94.8642  164.789  0.37  54.5  34  3.1589  100
1.401  0.644026  1896.66  94.9829  164.741  0.38  54.5  34  3.1589  100
1.45  0.772832  1957.95  89.1002  30.747  0.37  54.5  34  3.1589  100
1.499  0.772832  2019.45  89.6219  13.327  0.36  54.5  34  3.1589  100
1.547  0.772832  1895.71  94.7994  158.61  0.38  54.5  34  3.1589  100
1.596  0.772832  1993.25  88.7041  45.08  0.36  57.7  34  3.1589  100
1.645  0.772832  1942.02  94.6041  155.886  0.37  57.7  34  3.1589  100
1.694  0.901637  2003.54  89.9529  1.647  0.36  57.7  34  3.1589  100
1.742  0.901637  2011.27  89.9163  2.937  0.36  57.7  34  3.1589  100
1.791  0.901637  1919.81  94.935  165.152  0.38  57.7  34  3.1589  100
1.84  0.901637  1877.92  94.0455  132.483  0.39  57.7  34  3.1589  100
1.888  1.03044  2015.12  89.8196  6.344  0.36  54.7  34  3.1589  100
1.937  1.03044  1908.68  94.9082  163.306  0.38  54.7  34  3.1589  100
1.986  1.03044  2002.74  90.0152  0.531  0.36  54.7  34  3.1589  100
2.035  1.03044  1962.92  94.8429  165.718  0.37  54.7  34  3.1589  100
2.084  1.03044  1886.03  95.0019  164.44  0.39  54.7  34  3.1589  100
2.132  1.15925  1985.62  89.8197  6.247  0.36  54.7  34  3.1589  100
2.181  1.15925  2000.73  89.7202  9.772  0.36  54.7  34  3.1589  100
2.23  1.15925  1967.16  89.7456  8.733  0.37  55  34  3.1589  100
2.279  1.15925  2007.84  88.8134  41.581  0.36  55  34  3.1589  100
2.327  1.15925  1947.15  95.9331  201.271  0.37  55  34  3.1589  100
2.376  1.28805  1893.23  95.2186  172.2  0.38  55  34  3.1589  100
2.425  1.28805  1946.55  94.8449  164.405  0.37  55  34  3.1589  100
2.474  1.28805  1891.16  95.1115  168.491  0.38  55  34  3.1589  100
2.523  1.28805  1893.57  94.9802  164.382  0.38  52.6  34  3.1589  100
2.571  1.41686  2031.42  89.6369  12.872  0.36  52.6  34  3.1589  100
2.62  1.41686  1989.97  89.7766  7.76  0.36  52.6  34  3.1589  100
