[Connect DataFile][2.1]
Date:	11/11/2024
Time:	12:34:51
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:51:859		
000:00:00.050	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:51:909		
000:00:00.100	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:51:959		
000:00:00.150	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:009		
000:00:00.200	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:059		
000:00:00.250	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:109		
000:00:00.300	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:159		
000:00:00.350	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:209		
000:00:00.400	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:259		
000:00:00.450	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:309		
000:00:00.500	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:359		
000:00:00.550	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:409		
000:00:00.600	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:459		
000:00:00.650	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:509		
000:00:00.700	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:559		
000:00:00.750	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:609		
000:00:00.800	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:659		
000:00:00.850	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:709		
000:00:00.900	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:759		
000:00:00.950	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:809		
000:00:01.000	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:859		
000:00:01.050	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:909		
000:00:01.100	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:52:959		
000:00:01.150	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:009		
000:00:01.200	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:059		
000:00:01.250	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:109		
000:00:01.300	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:159		
000:00:01.350	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:209		
000:00:01.400	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:259		
000:00:01.450	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:309		
000:00:01.500	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:359		
000:00:01.550	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:409		
000:00:01.600	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:459		
000:00:01.650	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:509		
000:00:01.700	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:559		
000:00:01.750	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:609		
000:00:01.800	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:659		
000:00:01.850	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:709		
000:00:01.900	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:759		
000:00:01.950	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:809		
000:00:02.000	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:859		
000:00:02.050	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:909		
000:00:02.100	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:53:959		
000:00:02.150	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:009		
000:00:02.200	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:059		
000:00:02.250	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:109		
000:00:02.300	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:159		
000:00:02.350	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:209		
000:00:02.400	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:259		
000:00:02.450	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:309		
000:00:02.500	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:359		
000:00:02.550	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:409		
000:00:02.600	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:459		
000:00:02.650	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:509		
000:00:02.700	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:559		
000:00:02.750	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:609		
000:00:02.800	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:659		
000:00:02.850	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:709		
000:00:02.900	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:759		
000:00:02.950	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:809		
000:00:03.000	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:859		
000:00:03.050	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:909		
000:00:03.100	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:54:959		
000:00:03.150	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:55:009		
000:00:03.200	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:55:059		
000:00:03.250	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:55:109		
000:00:03.300	800.0	22.8	22.5	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:34:55:159		
