Displacement	Load	Strain	Stress
mm	g	%	MPa
0	0	0	0
0.1	0	0	0
0.2	0	0	0
0.3	0	0	0
0.4	0	0	0
0.5	0	0	0
0.6	0	0	0
0.7	0	0	0
0.8	0.005	0.241837969	0.165881265
0.9	0.009	0.483675937	0.2985862771
1	0.022	0.725513906	0.7298775661
1.1	0.048	0.967351874	1.5924601443
1.2	0.123	1.209189843	4.0806791198
1.3	0.424	1.451027811	14.0667312746
1.4	0.7	1.69286578	23.2233771043
1.5	1.36	1.934703748	45.1197040883
1.6	2.2	2.176541717	72.9877566134
1.7	3	2.418379686	99.5287590183
1.8	3.7	2.660217654	122.7521361226
1.9	3.9	2.902055623	129.3873867238
2	4.2	3.143893591	139.3402626256
2.1	3.8	3.38573156	126.0697614232
2.2	4.5	3.627569528	149.2931385275
2.3	4.6	3.869407497	152.6107638281
2.4	5.6	4.111245466	185.7870168342
2.5	5.5	4.353083434	182.4693915336
2.6	5.5	4.594921403	182.4693915336
2.7	6	4.836759371	199.0575180366
2.8	6	5.07859734	199.0575180366
2.9	6	5.320435308	199.0575180366
3	6	5.562273277	199.0575180366
3.1	5	5.804111245	165.8812650305
3.2	5.5	6.045949214	182.4693915336
3.3	5	6.287787183	165.8812650305
3.4	6	6.529625151	199.0575180366
3.5	6	6.77146312	199.0575180366
3.6	5	7.013301088	165.8812650305
3.7	6	7.255139057	199.0575180366
3.8	6	7.496977025	199.0575180366
3.9	6	7.738814994	199.0575180366
4	6	7.980652963	199.0575180366
4.1	6	8.222490931	199.0575180366
4.2	6	8.4643289	199.0575180366
4.3	6	8.706166868	199.0575180366
4.4	6	8.948004837	199.0575180366
4.5	6	9.189842805	199.0575180366
4.6	6	9.431680774	199.0575180366
4.7	6	9.673518742	199.0575180366
4.8	6	9.915356711	199.0575180366
4.9	6	10.15719468	199.0575180366
5	6	10.399032648	199.0575180366
5.1	6	10.640870617	199.0575180366
5.2	6	10.882708585	199.0575180366
5.3	6	11.124546554	199.0575180366
5.4	6	11.366384522	199.0575180366
5.5	6	11.608222491	199.0575180366
5.6	6	11.850060459	199.0575180366
5.7	6	12.091898428	199.0575180366
5.8	6	12.333736397	199.0575180366
5.9	6	12.575574365	199.0575180366
6	6	12.817412334	199.0575180366
6.1	6	13.059250302	199.0575180366
6.2	6	13.301088271	199.0575180366
6.3	6.7	13.542926239	222.2808951409
6.4	7.5	13.784764208	248.8218975458
6.5	8.2	14.026602177	272.04527465
6.6	10	14.268440145	331.762530061
6.5	8.2	14.026602177	272.04527465
6.4	6.8	13.784764208	225.5985204415
6.3	5.5	13.542926239	182.4693915336
6.2	5.3	13.301088271	175.8341409323
6.1	5	13.059250302	165.8812650305
6	4.5	12.817412334	149.2931385275
5.9	4.5	12.575574365	149.2931385275
5.8	4.5	12.333736397	149.2931385275
5.7	4	12.091898428	132.7050120244
5.6	4	11.850060459	132.7050120244
5.5	4	11.608222491	132.7050120244
5.4	4.5	11.366384522	149.2931385275
5.3	4.5	11.124546554	149.2931385275
5.2	4	10.882708585	132.7050120244
5.1	4	10.640870617	132.7050120244
5	3.7	10.399032648	122.7521361226
4.9	3	10.15719468	99.5287590183
4.8	3	9.915356711	99.5287590183
4.7	3.2	9.673518742	106.1640096195
4.6	3.7	9.431680774	122.7521361226
4.5	4.5	9.189842805	149.2931385275
4.4	4	8.948004837	132.7050120244
4.3	4.5	8.706166868	149.2931385275
4.2	4	8.4643289	132.7050120244
4.1	3.5	8.222490931	116.1168855214
4	2	7.980652963	66.3525060122
3.9	1.5	7.738814994	49.7643795092
3.8	2	7.496977025	66.3525060122
3.7	2	7.255139057	66.3525060122
3.6	3.5	7.013301088	116.1168855214
3.5	3	6.77146312	99.5287590183
3.4	2	6.529625151	66.3525060122
3.3	3	6.287787183	99.5287590183
3.2	3	6.045949214	99.5287590183
3.1	3	5.804111245	99.5287590183
3	3	5.562273277	99.5287590183
2.9	2	5.320435308	66.3525060122
2.8	2	5.07859734	66.3525060122
2.7	2	4.836759371	66.3525060122
2.6	2	4.594921403	66.3525060122
2.5	1.5	4.353083434	49.7643795092
2.4	2	4.111245466	66.3525060122
2.3	2	3.869407497	66.3525060122
2.2	2	3.627569528	66.3525060122
2.1	2	3.38573156	66.3525060122
2	2	3.143893591	66.3525060122
1.9	2	2.902055623	66.3525060122
1.8	1	2.660217654	33.1762530061
1.7	1.5	2.418379686	49.7643795092
1.6	1.5	2.176541717	49.7643795092
1.5	0.6	1.934703748	19.9057518037
1.4	0.15	1.69286578	4.9764379509
1.3	0.05	1.451027811	1.6588126503
1.2	0.029	1.209189843	0.9621113372
1.1	0.011	0.967351874	0.3649387831
1	0	0.725513906	0
0.9	0	0.483675937	0
0.8	0	0.241837969	0
0.7	-0.013	0	-0.4312912891
0.6	-0.015	-0.241837969	-0.4976437951
0.5	-0.017	-0.483675937	-0.5639963011
0.4	-0.017	-0.725513906	-0.5639963011
0.3	-0.019	-0.967351874	-0.6303488071
0.1	-0.019	-1.451027811	-0.6303488071
0	-0.026	-1.69286578	-0.8625825782
0.1	-0.025	-1.451027811	-0.8294063252
0.2	-0.019	-1.209189843	-0.6303488071
0.3	-0.019	-0.967351874	-0.6303488071
0.4	-0.019	-0.725513906	-0.6303488071
0.5	-0.019	-0.483675937	-0.6303488071
0.6	-0.019	-0.241837969	-0.6303488071
0.7	-0.019	0	-0.6303488071
0.8	-0.014	0.241837969	-0.4644675421
0.9	-0.01	0.483675937	-0.3317625301
1	-0.002	0.725513906	-0.066352506
1.1	0.014	0.967351874	0.4644675421
1.2	0.041	1.209189843	1.3602263733
1.3	0.211	1.451027811	7.0001893843
1.4	0.411	1.69286578	13.6354399855
1.5	1.071	1.934703748	35.5317669695
1.6	1.781	2.176541717	59.0869066039
1.7	2.381	2.418379686	78.9926584075
1.8	2.981	2.660217654	98.8984102112
1.9	2.381	2.902055623	78.9926584075
2	2.981	3.143893591	98.8984102112
2.1	3.481	3.38573156	115.4865367142
2.2	3.481	3.627569528	115.4865367142
2.3	3.981	3.869407497	132.0746632173
2.4	2.481	4.111245466	82.3102837081
